Date,Time,Event,Asset,Rate,Currency,Amount,Amount_Unit,AUD_Value,Fee_Amount,Fee_Unit,Fee_AUD,Balance,Balance_Unit
5/03/2022,10:59:59,REWARD,SOL,,,0.00040377,SOL,0.04762774,0.000,SOL,0,2.26927734,SOL
5/03/2022,10:59:59,REWARD,MATIC,,,0.08236947,MATIC,0.16223469,0.000,MATIC,0,250.79518111,MATIC
5/03/2022,10:59:59,REWARD,LUNC,,,0.00044742,LUNC,0.04995683,0.000,LUNC,0,2.04324944,LUNC
6/03/2022,10:59:59,REWARD,SOL,,,0.00040384,SOL,0.04915479,0.000,SOL,0,2.26968118,SOL
6/03/2022,10:59:59,REWARD,MATIC,,,0.08239653,MATIC,0.16854076,0.000,MATIC,0,250.87757764,MATIC
6/03/2022,10:59:59,REWARD,LUNC,,,0.00044752,LUNC,0.05281922,0.000,LUNC,0,2.04369696,LUNC
7/03/2022,10:59:59,REWARD,SOL,,,0.00040391,SOL,0.0452666,0.000,SOL,0,2.27008509,SOL
7/03/2022,10:59:59,REWARD,MATIC,,,0.08242360,MATIC,0.15940668,0.000,MATIC,0,250.96000124,MATIC
7/03/2022,10:59:59,REWARD,LUNC,,,0.00044761,LUNC,0.04813605,0.000,LUNC,0,2.04414457,LUNC
8/03/2022,10:59:59,REWARD,SOL,,,0.00040398,SOL,0.04553543,0.000,SOL,0,2.27048907,SOL
8/03/2022,10:59:59,REWARD,MATIC,,,0.08245068,MATIC,0.16081331,0.000,MATIC,0,251.04245192,MATIC
8/03/2022,10:59:59,REWARD,LUNC,,,0.00044771,LUNC,0.04861504,0.000,LUNC,0,2.04459228,LUNC
9/03/2022,10:59:59,REWARD,SOL,,,0.00040406,SOL,0.04623559,0.000,SOL,0,2.27089313,SOL
9/03/2022,10:59:59,REWARD,MATIC,,,0.08247777,MATIC,0.16677903,0.000,MATIC,0,251.12492969,MATIC
9/03/2022,10:59:59,REWARD,LUNC,,,0.00044781,LUNC,0.05516828,0.000,LUNC,0,2.04504009,LUNC
10/03/2022,10:59:59,REWARD,SOL,,,0.00040413,SOL,0.04839281,0.000,SOL,0,2.27129726,SOL
10/03/2022,10:59:59,REWARD,MATIC,,,0.08250487,MATIC,0.16965897,0.000,MATIC,0,251.20743456,MATIC
10/03/2022,10:59:59,REWARD,LUNC,,,0.00044791,LUNC,0.06026327,0.000,LUNC,0,2.045488,LUNC
11/03/2022,10:59:59,REWARD,SOL,,,0.00040420,SOL,0.04514529,0.000,SOL,0,2.27170146,SOL
11/03/2022,10:59:59,REWARD,MATIC,,,0.08253197,MATIC,0.15974571,0.000,MATIC,0,251.28996653,MATIC
11/03/2022,10:59:59,REWARD,LUNC,,,0.00044801,LUNC,0.06078078,0.000,LUNC,0,2.04593601,LUNC
